date,kind,qty,strike,spot,dte,px,otm_pct
2022-01-03,BUY_SHARES,1200,,70.16,,,
2022-01-03,BUY_PUT,12,70.0,70.16,46.0,7.66,-0.22805017103761926
2022-01-07,CALL_EXPIRED,12,71.0,59.6,,,
2022-01-10,BUY_SHARES,100,,55.89,,,
2022-01-10,BUY_PUT,1,55.0,55.89,130.0,11.84,-1.592413669708359
2022-01-14,CALL_ASSIGNED,1300,56.0,64.46,,,
2022-01-18,BUY_SHARES,1300,,59.52,,,
2022-01-21,CALL_EXPIRED,13,60.0,43.62,,,
2022-01-28,CALL_EXPIRED,13,43.0,38.36,,,
2022-01-31,BUY_SHARES,100,,41.03,,,
2022-01-31,BUY_PUT,1,41.0,41.03,109.0,8.410936501593644,-0.07311723129417302
2022-02-04,CALL_ASSIGNED,1400,42.0,43.35,,,
2022-02-07,BUY_SHARES,1400,,45.15,,,
2022-02-11,CALL_EXPIRED,14,46.0,39.41,,,
2022-02-18,CALL_EXPIRED,14,42.0,39.54,,,
2022-02-18,PUT_EXERCISED,1200,70.0,39.54,,,
2022-02-22,BUY_SHARES,1800,,40.66,,,
2022-02-22,BUY_PUT,18,40.0,40.66,87.0,8.0,-1.6232169208066805
2022-02-25,CALL_ASSIGNED,2000,41.0,41.77,,,
2022-02-28,BUY_SHARES,2100,,41.4,,,
2022-02-28,BUY_PUT,1,41.0,41.4,81.0,8.15,-0.9661835748792202
2022-03-04,CALL_EXPIRED,21,42.0,34.74,,,
2022-03-07,BUY_SHARES,100,,33.61,,,
2022-03-07,BUY_PUT,1,33.0,33.61,74.0,7.3,-1.8149360309431706
2022-03-11,CALL_EXPIRED,22,35.0,30.6,,,
2022-03-14,BUY_SHARES,100,,29.47,,,
2022-03-14,BUY_PUT,1,29.0,29.47,67.0,5.78,-1.5948422124194006
2022-03-18,CALL_ASSIGNED,2300,31.0,39.21,,,
2022-03-21,BUY_SHARES,1900,,38.04,,,
2022-03-25,CALL_ASSIGNED,1900,39.0,41.95,,,
2022-03-28,BUY_SHARES,1900,,41.89,,,
2022-04-01,CALL_EXPIRED,19,42.0,36.23,,,
2022-04-04,BUY_SHARES,100,,37.84,,,
2022-04-08,CALL_EXPIRED,20,38.0,28.25,,,
2022-04-11,BUY_SHARES,100,,27.23,,,
2022-04-14,CALL_EXPIRED,21,28.0,25.6,,,
2022-04-18,BUY_SHARES,100,,26.15,,,
2022-04-22,CALL_EXPIRED,22,27.0,24.41,,,
2022-04-25,BUY_SHARES,100,,24.05,,,
2022-04-29,CALL_EXPIRED,23,25.0,22.22,,,
2022-05-02,BUY_SHARES,100,,23.28,,,
2022-05-02,BUY_PUT,1,23.0,23.28,109.0,5.347740229427577,-1.2027491408934776
2022-05-06,CALL_EXPIRED,24,24.5,23.3,,,
2022-05-09,BUY_SHARES,100,,22.17,,,
2022-05-09,BUY_PUT,1,22.0,22.17,102.0,5.3500000000000005,-0.7668019846639673
2022-05-13,CALL_EXPIRED,25,23.5,22.55,,,
2022-05-16,BUY_SHARES,100,,21.7,,,
2022-05-16,BUY_PUT,1,21.0,21.7,95.0,4.475258658328225,-3.2258064516129004
2022-05-20,CALL_EXPIRED,26,22.5,20.34,,,
2022-05-20,PUT_EXERCISED,100,55.0,20.34,,,
2022-05-20,PUT_EXERCISED,100,41.0,20.34,,,
2022-05-20,PUT_EXERCISED,1800,40.0,20.34,,,
2022-05-20,PUT_EXERCISED,100,41.0,20.34,,,
2022-05-20,PUT_EXERCISED,100,33.0,20.34,,,
2022-05-20,PUT_EXERCISED,100,29.0,20.34,,,
2022-05-23,BUY_SHARES,3900,,20.05,,,
2022-05-23,BUY_PUT,39,20.0,20.05,88.0,4.32,-0.24937655860349794
2022-05-27,CALL_ASSIGNED,4200,20.5,25.29,,,
2022-05-31,BUY_SHARES,3700,,24.29,,,
2022-06-03,CALL_EXPIRED,37,24.5,23.89,,,
2022-06-06,BUY_SHARES,100,,25.18,,,
2022-06-10,CALL_EXPIRED,38,25.5,18.75,,,
2022-06-13,BUY_SHARES,400,,16.87,,,
2022-06-17,CALL_EXPIRED,42,18.0,13.68,,,
2022-06-21,BUY_SHARES,100,,15.37,,,
2022-06-21,BUY_PUT,1,15.0,15.37,59.0,2.6,-2.407286922576446
2022-06-24,CALL_ASSIGNED,4300,15.5,15.84,,,
2022-06-27,BUY_SHARES,4400,,15.78,,,
2022-06-27,BUY_PUT,1,15.0,15.78,53.0,2.31,-4.942965779467679
2022-07-01,CALL_EXPIRED,44,16.0,11.6,,,
2022-07-05,BUY_SHARES,400,,10.83,,,
2022-07-05,BUY_PUT,4,10.0,10.83,45.0,1.55,-7.663896583564178
2022-07-08,CALL_ASSIGNED,4800,11.0,13.91,,,
2022-07-11,BUY_SHARES,4200,,12.96,,,
2022-07-15,CALL_ASSIGNED,4200,13.0,15.13,,,
2022-07-18,BUY_SHARES,3700,,15.69,,,
2022-07-22,CALL_ASSIGNED,3700,16.0,17.62,,,
2022-07-25,BUY_SHARES,3600,,17.13,,,
2022-07-29,CALL_ASSIGNED,3600,17.5,19.84,,,
2022-08-01,BUY_SHARES,3300,,20.01,,,
2022-08-05,CALL_ASSIGNED,3300,20.5,21.54,,,
2022-08-08,BUY_SHARES,3300,,21.13,,,
2022-08-12,CALL_ASSIGNED,3300,21.5,21.6,,,
2022-08-15,BUY_SHARES,3400,,21.67,,,
2022-08-19,CALL_EXPIRED,34,22.0,19.15,,,
2022-08-19,PUT_EXERCISED,100,23.0,19.15,,,
2022-08-19,PUT_EXERCISED,100,22.0,19.15,,,
2022-08-19,PUT_EXERCISED,100,21.0,19.15,,,
2022-08-19,PUT_EXERCISED,3100,20.0,19.15,,,
2022-08-19,PUT_CASH_SETTLED,8,20.0,19.15,,,
2022-08-19,PUT_EXPIRED,1,15.0,19.15,,,
2022-08-19,PUT_EXPIRED,1,15.0,19.15,,,
2022-08-19,PUT_EXPIRED,4,10.0,19.15,,,
2022-08-22,BUY_SHARES,3400,,17.91,,,
2022-08-22,BUY_PUT,34,17.5,17.91,88.0,3.35,-2.2892238972641032
2022-08-26,CALL_EXPIRED,34,18.0,15.96,,,
2022-08-29,BUY_SHARES,200,,15.82,,,
2022-08-29,BUY_PUT,2,15.0,15.82,81.0,2.82,-5.1833122629582835
2022-09-02,CALL_EXPIRED,36,16.0,12.82,,,
2022-09-06,BUY_SHARES,100,,12.6,,,
2022-09-06,BUY_PUT,1,12.0,12.6,73.0,2.37,-4.761904761904756
2022-09-09,CALL_ASSIGNED,3700,13.0,14.67,,,
2022-09-12,BUY_SHARES,3300,,14.98,,,
2022-09-16,CALL_EXPIRED,33,15.0,12.06,,,
2022-09-19,BUY_SHARES,300,,12.16,,,
2022-09-23,CALL_EXPIRED,36,12.5,9.96,,,
2022-09-26,BUY_SHARES,200,,10.32,,,
2022-09-26,BUY_PUT,1,10.0,10.32,116.0,2.3343756137832163,-3.100775193798455
2022-09-30,CALL_EXPIRED,38,10.5,8.77,,,
2022-10-03,BUY_SHARES,200,,9.39,,,
2022-10-03,BUY_PUT,2,9.0,9.39,109.0,2.0184240850937787,-4.1533546325878685
2022-10-07,CALL_EXPIRED,40,9.5,9.16,,,
2022-10-10,BUY_SHARES,200,,8.32,,,
2022-10-10,BUY_PUT,2,8.0,8.32,102.0,1.8934771470806826,-3.8461538461538547
2022-10-14,CALL_EXPIRED,42,8.5,6.91,,,
2022-10-17,BUY_SHARES,200,,7.51,,,
2022-10-17,BUY_PUT,2,7.0,7.51,95.0,1.5595684597181805,-6.790945406125159
2022-10-21,CALL_ASSIGNED,4400,8.0,8.6,,,
2022-10-24,BUY_SHARES,4300,,8.49,,,
2022-10-28,CALL_ASSIGNED,4300,8.5,9.52,,,
2022-10-31,BUY_SHARES,4300,,9.02,,,
2022-11-04,CALL_EXPIRED,43,9.5,9.02,,,
2022-11-07,BUY_SHARES,100,,8.99,,,
2022-11-11,CALL_ASSIGNED,4400,9.5,13.19,,,
2022-11-14,BUY_SHARES,3400,,13.09,,,
2022-11-18,CALL_EXPIRED,34,13.5,12.5,,,
2022-11-18,PUT_EXERCISED,3400,17.5,12.5,,,
2022-11-18,PUT_CASH_SETTLED,2,15.0,12.5,,,
2022-11-18,PUT_EXPIRED,1,12.0,12.5,,,
2022-11-21,BUY_SHARES,4400,,12.08,,,
2022-11-21,BUY_PUT,37,12.0,12.08,88.0,2.4025796738361844,-0.6622516556291425
2022-11-25,CALL_ASSIGNED,4400,12.5,12.84,,,
2022-11-28,BUY_SHARES,4400,,12.58,,,
2022-12-02,CALL_ASSIGNED,4400,13.0,13.03,,,
2022-12-05,BUY_SHARES,4600,,12.85,,,
2022-12-05,BUY_PUT,2,12.0,12.85,74.0,1.865599546466231,-6.6147859922178975
2022-12-09,CALL_EXPIRED,46,13.0,12.31,,,
2022-12-12,BUY_SHARES,100,,12.15,,,
2022-12-12,BUY_PUT,1,12.0,12.15,67.0,2.1195188742660607,-1.2345679012345734
2022-12-16,CALL_EXPIRED,47,13.0,11.1,,,
2022-12-19,BUY_SHARES,300,,10.73,,,
2022-12-19,BUY_PUT,3,10.0,10.73,60.0,1.438795028255118,-6.803355079217155
2022-12-23,CALL_EXPIRED,50,11.0,9.77,,,
2022-12-27,BUY_SHARES,100,,9.23,,,
2022-12-27,BUY_PUT,1,9.0,9.23,52.0,1.3378794168361559,-2.4918743228602436
2022-12-30,CALL_ASSIGNED,5100,9.5,9.68,,,
